t,q_ref_rad,q_meas_rad,qd_ref_rad_s,qd_meas_rad_s,e_rad,e_dot_rad_s,e_int,psi,psi_dot,kappa_delta,nussbaum_n,zeta,zeta_dot,u_cmd,u_aux,u_robust,u_fric,tail_activation,max_control_eff,current_from_u_raw,goal_current_raw,slew_boost,max_current_slew_eff_raw_s,present_current_raw,psi_hat_norm
2.583534,2.4950800145,2.4651071261,0.0162507546,0.0200183799,0.0298604535,-0.0037676253,0.0392215452,0.1216903321,0.2091699456,0.0889417894,0.4976367697,0.8883205167,0.0032960299,-0.0133600190,0.0002284804,0.0000000000,0.0001140634,0.0201450284,0.0632000000,-2.8056039955,2.676,1.000000,10.1211443054,1,0.0622392945
2.625146,2.4966404491,2.4651071261,0.0162835921,0.0172479720,0.0314364482,-0.0009643799,0.0405313972,0.1300521439,0.2006834832,0.0930743417,0.4977065811,0.8884802856,0.0038344544,-0.0145577338,0.0000584830,0.0000000000,0.0001142938,0.0400425007,0.0632000000,-3.0571240910,2.927,1.000000,10.1211443054,4,0.0658640581
2.666786,2.4982138464,2.4651071261,0.0163063579,0.0148609697,0.0330232524,0.0014453881,0.0419073661,0.1381384873,0.1940722398,0.0985568439,0.4977877492,0.8886648995,0.0044307322,-0.0158576651,-0.0000876528,-0.0000000000,0.0001144536,0.0660779838,0.0632000000,-3.3301096660,3.200,1.000000,10.1211443054,1,0.0703495045
2.708447,2.4997993788,2.4651071261,0.0163189383,0.0128043124,0.0346203361,0.0035146259,0.0433498801,0.1460016555,0.1887160377,0.1053223923,0.4978814759,0.8888771379,0.0050937216,-0.0172764418,-0.0002131377,-0.0000000000,0.0001145419,0.0977801050,0.0632000000,-3.6280527785,3.498,1.000000,10.1211443054,4,0.0756544679
2.750127,2.5013964110,2.4651071261,0.0163212294,0.0110322824,0.0362273211,0.0052889469,0.0448593518,0.1536869441,0.1844469271,0.1133103981,0.4979891434,0.8891201695,0.0058327598,-0.0188284206,-0.0003207380,-0.0000000000,0.0001145580,0.1346520011,0.0632000000,-3.9539683205,3.824,1.000000,10.1211443054,2,0.0817430951
2.791773,2.5030023567,2.4666411069,0.0163131476,0.0095054894,0.0363078614,0.0068076582,0.0463721794,0.1575113885,0.0917866639,0.1222396773,0.4981123215,0.8893846778,0.0063481979,-0.0200173737,-0.0004128374,-0.0000000000,0.0001145013,0.1366205075,0.0632000000,-4.2036484687,4.074,1.000000,10.1211443054,5,0.0879140694
2.833534,2.5046223008,2.4666411069,0.0162945516,0.0081899942,0.0379351941,0.0081045574,0.0479528125,0.1648668749,0.1765316752,0.1315005923,0.4982462506,0.8896849553,0.0072066611,-0.0217527680,-0.0004914853,-0.0000000000,0.0001143707,0.1786374623,0.0632000000,-4.5680812746,4.438,1.000000,10.1211443054,3,0.0948253108
2.875140,2.5062452588,2.4681750877,0.0162654959,0.0070565546,0.0380305373,0.0092089413,0.0495374182,0.1684123614,0.0850916751,0.1416002210,0.4983981212,0.8900102223,0.0078064076,-0.0230892564,-0.0005584586,-0.0000000000,0.0001141668,0.1812245960,0.0632000000,-4.8487438490,4.719,1.000000,10.1211443054,3,0.1017349433
2.916809,2.5078790355,2.4727770301,0.0162257878,0.0127175419,0.0350305763,0.0035082459,0.0509970255,0.1576578321,-0.2581087028,0.1508425663,0.4985624267,0.8903048457,0.0070709609,-0.0222693687,-0.0002127508,-0.0000000000,0.0001138881,0.1067424918,0.0632000000,-4.6765674200,4.547,1.000000,10.1211443054,5,0.1060289716
2.958455,2.5095196797,2.4773789724,0.0161754206,0.0242326535,0.0320046026,-0.0080572329,0.0523305506,0.1408007113,-0.4045709006,0.1558489317,0.4987110697,0.8905439692,0.0057389637,-0.0201898724,0.0004886154,0.0000000000,0.0001135347,0.0487022826,0.0632000000,-4.2398731979,4.125,1.000000,10.1211443054,5,0.1071367326
