t,q_ref_rad,q_meas_rad,qd_ref_rad_s,qd_meas_rad_s,e_rad,e_dot_rad_s,e_int,psi,psi_dot,kappa_delta,nussbaum_n,zeta,zeta_dot,u_cmd,current_from_u_raw,goal_current_raw,present_current_raw,psi_hat_norm
3.500244,2.5312874355,2.4973207227,0.0145196381,0.0203164280,0.0339042676,-0.0057967898,0.0632860130,0.1640564060,-0.1985275662,0.1775735531,0.4996545208,0.8925275963,0.0082706514,-0.0251893142,-5.2897559845,5.160,5,0.1265379262
3.541795,2.5329670663,2.5019226650,0.0143142862,0.0279867089,0.0309583805,-0.0136724227,0.0645759455,0.1510021648,-0.3133017874,0.1804968178,0.4998268568,0.8928223236,0.0070734545,-0.0234135885,-4.9168535899,4.787,5,0.1270419947
3.583551,2.5346531329,2.5080585882,0.0140965130,0.0373116867,0.0264798624,-0.0232151737,0.0656792731,0.1323762591,-0.4470217376,0.1793693099,0.4999740560,0.8930480035,0.0054163170,-0.0204569762,-4.2959649935,4.281,4,0.1246733714
3.625115,2.5363290204,2.5126605306,0.0138683542,0.0481234931,0.0235205760,-0.0342551389,0.0666592971,0.1156885373,-0.4005053232,0.1744783213,0.5000866510,0.8932176426,0.0040713398,-0.0175991740,-3.6958265340,3.774,2,0.1203329065
3.666774,2.5380056077,2.5157284921,0.0136282633,0.0529727604,0.0221142969,-0.0393444971,0.0675807261,0.1085583751,-0.1711238937,0.1675282720,0.5001712185,0.8933636029,0.0035030463,-0.0161399151,-3.3893821749,3.267,2,0.1155363973
3.708585,2.5396844925,2.5172624729,0.0133757974,0.0524643854,0.0222607635,-0.0390885881,0.0685082579,0.1104711071,0.0459055700,0.1605802951,0.5002439349,0.8935112189,0.0035427847,-0.0160427158,-3.3689703109,3.239,1,0.1113701746
3.750126,2.5413480976,2.5157284921,0.0131135415,0.0471418984,0.0254747087,-0.0340283569,0.0695697041,0.1246648485,0.3406497916,0.1553511378,0.5003174322,0.8936958182,0.0044303817,-0.0177804508,-3.7338946752,3.604,3,0.1092899521
3.791783,2.5430112346,2.5172624729,0.0128391170,0.0423593751,0.0256185646,-0.0295202582,0.0706371443,0.1310209937,0.1525474870,0.1523644043,0.5004092810,0.8938975849,0.0048424007,-0.0184946105,-3.8838682144,3.754,5,0.1082143747
3.833441,2.5446685801,2.5157284921,0.0125532384,0.0380620366,0.0288230993,-0.0255087981,0.0718381068,0.1443404789,0.3196676436,0.1513423834,0.5005095923,0.8941415724,0.0058557008,-0.0203050069,-4.2640514452,4.134,3,0.1091258740
3.875143,2.5463212300,2.5157284921,0.0122555823,0.0342006610,0.0304876177,-0.0219450787,0.0731084242,0.1536513181,0.2234601417,0.1527716153,0.5006307837,0.8944194584,0.0066692656,-0.0217299773,-4.5632952360,4.434,5,0.1113776976
3.916788,2.5479644983,2.5157284921,0.0119468821,0.0307310201,0.0321415504,-0.0187841381,0.0744476555,0.1626314741,0.2155237430,0.1560569412,0.5007686651,0.8947343964,0.0075585110,-0.0232738804,-4.8875148939,4.758,4,0.1148842176
3.958546,2.5496043738,2.5172624729,0.0116258687,0.0276133727,0.0322570276,-0.0159875040,0.0757916983,0.1675990484,0.1192217834,0.1607793998,0.5009247407,0.8950743949,0.0081599634,-0.0243887276,-5.1216328000,4.992,4,0.1188953702
4.000126,2.5512287901,2.5172624729,0.0112948154,0.0248120091,0.0338900542,-0.0135171937,0.0772037839,0.1759417107,0.2002238954,0.1664946850,0.5010930083,0.8954564560,0.0091694668,-0.0261152155,-5.4841952613,5.355,3,0.1240147471
4.041798,2.5528476600,2.5172624729,0.0109516213,0.0222948426,0.0355166609,-0.0113432213,0.0786836447,0.1840684208,0.1950410432,0.1737496106,0.5012818111,0.8958848688,0.0102819067,-0.0280011791,-5.8802476105,5.751,6,0.1301734428
4.083465,2.5544564693,2.5172624729,0.0105970785,0.0200330413,0.0371324222,-0.0094359628,0.0802308290,0.1919976508,0.1903015190,0.1824490467,0.5014931641,0.8963643486,0.0115075150,-0.0300573475,-6.3120429820,6.182,6,0.1373066528
4.125121,2.5560544111,2.5172624729,0.0102312470,0.0180006988,0.0387366107,-0.0077694518,0.0818448544,0.1997529590,0.1861273977,0.1925025902,0.5017292643,0.8969000602,0.0128570790,-0.0322937534,-6.7816882157,6.652,5,0.1453550781
4.166791,2.5576416766,2.5172624729,0.0098539536,0.0161745364,0.0403294891,-0.0063205828,0.0835252498,0.2073574098,0.1825068179,0.2038266744,0.5019924953,0.8974976241,0.0143415345,-0.0347194861,-7.2910920845,7.159,7,0.1542651806
4.208444,2.5592164302,2.5218644153,0.0094655072,0.0169664806,0.0372998662,-0.0075009734,0.0850794109,0.2011723263,-0.1484420047,0.2150186528,0.5022854218,0.8980789439,0.0139516749,-0.0348344281,-7.3152299026,7.186,7,0.1609672929
4.250098,2.5607787556,2.5280003384,0.0090657630,0.0249766121,0.0327016483,-0.0159108491,0.0864419796,0.1837607300,-0.4178783090,0.2221707356,0.5025696789,0.8985740542,0.0118826456,-0.0324980064,-6.8245813360,6.695,6,0.1635095546
4.291769,2.5623284746,2.5356702424,0.0086546229,0.0370398060,0.0265443856,-0.0283851831,0.0875479957,0.1582186716,-0.6130094037,0.2227679212,0.5028112303,0.8989417158,0.0088238802,-0.0280418614,-5.8887908889,6.188,8,0.1612828730
